Gene Name,Protein IDs,Tumor_vs_Normal_log2 fold change,Tumor_vs_Normal_p.val,Tumor_vs_Normal_p.adj,significant,Tumor_vs_Normal_significant,imputed,num_NAs
GSTO2,Q9H4Y5,-0.141,0.52,0.613,FALSE,FALSE,TRUE,16
GSTP1,P09211,0.0278,0.876,0.909,FALSE,FALSE,FALSE,0
GSTT1,P30711,-0.17,0.689,0.759,FALSE,FALSE,FALSE,0
GSTT2B,P0CG30,-0.379,0.227,0.319,FALSE,FALSE,FALSE,0
GTDC1,Q4AE62,0.0499,0.735,0.797,FALSE,FALSE,TRUE,8
GTF2A1,P52655,0.222,0.0312,0.0628,FALSE,FALSE,FALSE,0
GTF2A2,P52657,0.139,0.139,0.215,FALSE,FALSE,FALSE,0
GTF2B,Q00403,-0.0305,0.614,0.696,FALSE,FALSE,FALSE,0
GTF2E1,P29083,0.166,0.0528,0.0967,FALSE,FALSE,FALSE,0
GTF2E2,P29084,0.218,0.0081,0.0204,FALSE,FALSE,FALSE,0
GTF2F1,P35269,0.0567,0.491,0.586,FALSE,FALSE,FALSE,0
GTF2F2,P13984,0.114,0.228,0.32,FALSE,FALSE,FALSE,0
GTF2H1,P32780,0.154,0.0542,0.0987,FALSE,FALSE,FALSE,0
GTF2H2C,Q6P1K8,0.0168,0.835,0.877,FALSE,FALSE,FALSE,0
GTF2H3,Q13889,0.0244,0.831,0.874,FALSE,FALSE,FALSE,0
GTF2H4,Q92759,0.018,0.846,0.886,FALSE,FALSE,FALSE,0
GTF2H5,Q6ZYL4,0.183,0.28,0.377,FALSE,FALSE,TRUE,8
GTF2I,P78347,0.051,0.58,0.665,FALSE,FALSE,FALSE,0
GTF2IRD1,Q9UHL9,-1.04,0.061,0.109,FALSE,FALSE,TRUE,16
GTF3A,Q92664,0.209,0.255,0.35,FALSE,FALSE,FALSE,0
GTF3C1,Q12789,-0.00798,0.9,0.927,FALSE,FALSE,FALSE,0
GTF3C2,Q8WUA4,-0.0479,0.516,0.608,FALSE,FALSE,FALSE,0
GTF3C3,Q9Y5Q9,0.0534,0.364,0.463,FALSE,FALSE,FALSE,0
GTF3C4,Q9UKN8,0.024,0.732,0.794,FALSE,FALSE,FALSE,0
GTF3C5,Q9Y5Q8,0.108,0.126,0.198,FALSE,FALSE,FALSE,0
GTF3C6,Q969F1,0.253,0.00154,0.00493,FALSE,FALSE,FALSE,0
GTPBP1,O00178,-0.0952,0.215,0.306,FALSE,FALSE,FALSE,0
GTPBP2,Q9BX10,0.213,0.0296,0.0601,FALSE,FALSE,FALSE,0
GTPBP3,Q969Y2,-0.0996,0.232,0.324,FALSE,FALSE,FALSE,0
GTPBP4,Q9BZE4,0.446,3.30E-05,0.000188,FALSE,FALSE,FALSE,0
GTPBP6,O43824,-0.698,2.49E-06,2.13E-05,FALSE,FALSE,FALSE,0
GTPBP8,Q8N3Z3,-0.298,0.148,0.226,FALSE,FALSE,FALSE,0
GUCD1,Q96NT3,0.175,0.453,0.55,FALSE,FALSE,TRUE,16
GUCY1A1,Q02108,0.555,0.00516,0.0139,FALSE,FALSE,FALSE,0
GUCY1A2,P33402,-0.283,0.0356,0.0701,FALSE,FALSE,FALSE,0
GUCY1B1,Q02153,0.437,0.00895,0.0222,FALSE,FALSE,FALSE,0
GUK1,Q16774,0.625,7.63E-07,8.27E-06,FALSE,FALSE,FALSE,0
GUSB,P08236,-0.536,0.0228,0.0486,FALSE,FALSE,FALSE,0
GXYLT1,Q4G148,0.3,0.0599,0.107,FALSE,FALSE,FALSE,0
GXYLT2,A0PJZ3,0.391,0.0997,0.164,FALSE,FALSE,TRUE,16
GYG1,P46976,0.0789,0.552,0.64,FALSE,FALSE,FALSE,0
GYG2,O15488,-0.793,0.041,0.0787,FALSE,FALSE,TRUE,16
GZF1,Q9H116,-0.0933,0.766,0.823,FALSE,FALSE,TRUE,16
GZMK,P49863,0.41,0.211,0.301,FALSE,FALSE,TRUE,8
GZMM,P51124,0.502,0.0243,0.0512,FALSE,FALSE,FALSE,0
H1-0,P07305,0.214,0.305,0.402,FALSE,FALSE,FALSE,0
H1-2,P16403,0.669,0.0392,0.0758,FALSE,FALSE,TRUE,8
H1-3,P16402,0.505,0.03,0.0607,FALSE,FALSE,FALSE,0
H2AC18,Q6FI13,0.184,0.0672,0.118,FALSE,FALSE,FALSE,0
H2AC21,Q8IUE6,0.0656,0.616,0.697,FALSE,FALSE,FALSE,0
H2AC4,P04908,0.282,0.162,0.244,FALSE,FALSE,FALSE,0
H2AX,P16104,0.441,0.0035,0.00996,FALSE,FALSE,FALSE,0
H2AZ1,P0C0S5,0.366,1.10E-05,7.44E-05,FALSE,FALSE,FALSE,0
